Year,Medical_District_AR,Medical_District_EN,Cause_of_Death_AR,Nationality_AR,Cause_of_Death_EN,Nationality_EN,Sex_AR,Sex_EN,Value,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الــــــدرن,غیر مواطن,Tuberculosis,Non-Citizen,ذ,M,5,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الــــــدرن,غیر مواطن,Tuberculosis,Non-Citizen,ا,F,2,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الــــــدرن,جملة,Tuberculosis,Total,جملة,Total,8,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,السعال الديكي,مواطن,Whooping Cough,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,السعال الديكي,مواطن,Whooping Cough,Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,السعال الديكي,غیر مواطن,Whooping Cough,Non-Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,السعال الديكي,غیر مواطن,Whooping Cough,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,السعال الديكي,جملة,Whooping Cough,Total,جملة,Total,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,عدوى بالمكورات السحائیــــة,مواطن,Meningococcal Infection,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,عدوى بالمكورات السحائیــــة,مواطن,Meningococcal Infection,Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,عدوى بالمكورات السحائیــــة,غیر مواطن,Meningococcal Infection,Non-Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,عدوى بالمكورات السحائیــــة,غیر مواطن,Meningococcal Infection,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,عدوى بالمكورات السحائیــــة,جملة,Meningococcal Infection,Total,جملة,Total,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التیتانوس-الكزاز,مواطن,Tetanus,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التیتانوس-الكزاز,مواطن,Tetanus,Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التیتانوس-الكزاز,غیر مواطن,Tetanus,Non-Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التیتانوس-الكزاز,غیر مواطن,Tetanus,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التیتانوس-الكزاز,جملة,Tetanus,Total,جملة,Total,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التسمم الدموي,مواطن,Septicaemia,Citizen,ذ,M,5,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التسمم الدموي,مواطن,Septicaemia,Citizen,ا,F,1,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التسمم الدموي,غیر مواطن,Septicaemia,Non-Citizen,ذ,M,7,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التسمم الدموي,غیر مواطن,Septicaemia,Non-Citizen,ا,F,1,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التسمم الدموي,جملة,Septicaemia,Total,جملة,Total,14,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الجدري,مواطن,Smallpox,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الجدري,مواطن,Smallpox,Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الجدري,غیر مواطن,Smallpox,Non-Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الجدري,غیر مواطن,Smallpox,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الجدري,جملة,Smallpox,Total,جملة,Total,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الحصبه,مواطن,Measles,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الحصبه,مواطن,Measles,Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الحصبه,غیر مواطن,Measles,Non-Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الحصبه,غیر مواطن,Measles,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الحصبه,جملة,Measles,Total,جملة,Total,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الملاريا,مواطن,Malaria,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الملاريا,مواطن,Malaria,Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الملاريا,غیر مواطن,Malaria,Non-Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الملاريا,غیر مواطن,Malaria,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الملاريا,جملة,Malaria,Total,جملة,Total,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمعدة,مواطن,Malignant Neoplasm of the Stomach,Citizen,ذ,M,3,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمعدة,مواطن,Malignant Neoplasm of the Stomach,Citizen,ا,F,3,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمعدة,غیر مواطن,Malignant Neoplasm of the Stomach,Non-Citizen,ذ,M,4,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمعدة,غیر مواطن,Malignant Neoplasm of the Stomach,Non-Citizen,ا,F,1,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمعدة,جملة,Malignant Neoplasm of the Stomach,Total,جملة,Total,11,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقولون,مواطن,Malignant Neoplasm of the Colon,Citizen,ذ,M,2,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقولون,مواطن,Malignant Neoplasm of the Colon,Citizen,ا,F,4,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقولون,غیر مواطن,Malignant Neoplasm of the Colon,Non-Citizen,ذ,M,3,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقولون,غیر مواطن,Malignant Neoplasm of the Colon,Non-Citizen,ا,F,2,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقولون,جملة,Malignant Neoplasm of the Colon,Total,جملة,Total,11,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمستقیم او الشرج,مواطن,Malignant Neoplasm of the Rectum,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمستقیم او الشرج,مواطن,Malignant Neoplasm of the Rectum,Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمستقیم او الشرج,غیر مواطن,Malignant Neoplasm of the Rectum,Non-Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمستقیم او الشرج,غیر مواطن,Malignant Neoplasm of the Rectum,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمستقیم او الشرج,جملة,Malignant Neoplasm of the Rectum,Total,جملة,Total,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقصبة الھوائیة او الشعب او الرئه,مواطن,"Malignant Neoplasm of the Trachea, Bronchus, and Lung",Citizen,ذ,M,4,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقصبة الھوائیة او الشعب او الرئه,مواطن,"Malignant Neoplasm of the Trachea, Bronchus, and Lung",Citizen,ا,F,2,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقصبة الھوائیة او الشعب او الرئه,غیر مواطن,"Malignant Neoplasm of the Trachea, Bronchus, and Lung",Non-Citizen,ذ,M,12,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقصبة الھوائیة او الشعب او الرئه,غیر مواطن,"Malignant Neoplasm of the Trachea, Bronchus, and Lung",Non-Citizen,ا,F,7,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقصبة الھوائیة او الشعب او الرئه,جملة,"Malignant Neoplasm of the Trachea, Bronchus, and Lung",Total,جملة,Total,25,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالثدي,مواطن,Malignant Neoplasm of the Breast,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالثدي,مواطن,Malignant Neoplasm of the Breast,Citizen,ا,F,4,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالثدي,غیر مواطن,Malignant Neoplasm of the Breast,Non-Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالثدي,غیر مواطن,Malignant Neoplasm of the Breast,Non-Citizen,ا,F,10,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بالثدي,جملة,Malignant Neoplasm of the Breast,Total,جملة,Total,14,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بعنق الرحم,مواطن,Malignant Neoplasm of the Cervix Uteri,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بعنق الرحم,مواطن,Malignant Neoplasm of the Cervix Uteri,Citizen,ا,F,7,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بعنق الرحم,غیر مواطن,Malignant Neoplasm of the Cervix Uteri,Non-Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بعنق الرحم,غیر مواطن,Malignant Neoplasm of the Cervix Uteri,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ورم خبیث بعنق الرحم,جملة,Malignant Neoplasm of the Cervix Uteri,Total,جملة,Total,7,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,اورام خبیثة اخرى,مواطن,Other Malignant Neoplasm,Citizen,ذ,M,16,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,اورام خبیثة اخرى,مواطن,Other Malignant Neoplasm,Citizen,ا,F,10,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,اورام خبیثة اخرى,غیر مواطن,Other Malignant Neoplasm,Non-Citizen,ذ,M,23,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,اورام خبیثة اخرى,غیر مواطن,Other Malignant Neoplasm,Non-Citizen,ا,F,18,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,اورام خبیثة اخرى,جملة,Other Malignant Neoplasm,Total,جملة,Total,67,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,سرطان الدم,مواطن,Leukaemia,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,سرطان الدم,مواطن,Leukaemia,Citizen,ا,F,4,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,سرطان الدم,غیر مواطن,Leukaemia,Non-Citizen,ذ,M,8,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,سرطان الدم,غیر مواطن,Leukaemia,Non-Citizen,ا,F,1,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,سرطان الدم,جملة,Leukaemia,Total,جملة,Total,13,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,داء السكري,مواطن,Diabetes Mellitus,Citizen,ذ,M,14,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,داء السكري,مواطن,Diabetes Mellitus,Citizen,ا,F,7,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,داء السكري,غیر مواطن,Diabetes Mellitus,Non-Citizen,ذ,M,25,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,داء السكري,غیر مواطن,Diabetes Mellitus,Non-Citizen,ا,F,10,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,داء السكري,جملة,Diabetes Mellitus,Total,جملة,Total,56,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الھزال الغذائي,مواطن,Nutritional Marasmus,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الھزال الغذائي,مواطن,Nutritional Marasmus,Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الھزال الغذائي,غیر مواطن,Nutritional Marasmus,Non-Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الھزال الغذائي,غیر مواطن,Nutritional Marasmus,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الھزال الغذائي,جملة,Nutritional Marasmus,Total,جملة,Total,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,انواع اخرى من سوء التغذية,مواطن,Other Protein-Calorie Malnutrition,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,انواع اخرى من سوء التغذية,مواطن,Other Protein-Calorie Malnutrition,Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,انواع اخرى من سوء التغذية,غیر مواطن,Other Protein-Calorie Malnutrition,Non-Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,انواع اخرى من سوء التغذية,غیر مواطن,Other Protein-Calorie Malnutrition,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,انواع اخرى من سوء التغذية,جملة,Other Protein-Calorie Malnutrition,Total,جملة,Total,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,فقر الدم,مواطن,Anaemia,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,فقر الدم,مواطن,Anaemia,Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,فقر الدم,غیر مواطن,Anaemia,Non-Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,فقر الدم,غیر مواطن,Anaemia,Non-Citizen,ا,F,1,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,فقر الدم,جملة,Anaemia,Total,جملة,Total,1,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الاضطرابات العقلیة,مواطن,Mental Disorders,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الاضطرابات العقلیة,مواطن,Mental Disorders,Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الاضطرابات العقلیة,غیر مواطن,Mental Disorders,Non-Citizen,ذ,M,1,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الاضطرابات العقلیة,غیر مواطن,Mental Disorders,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الاضطرابات العقلیة,جملة,Mental Disorders,Total,جملة,Total,1,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض الجھاز العصبي,مواطن,Diseases of the Nervous System,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض الجھاز العصبي,مواطن,Diseases of the Nervous System,Citizen,ا,F,1,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض الجھاز العصبي,غیر مواطن,Diseases of the Nervous System,Non-Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض الجھاز العصبي,غیر مواطن,Diseases of the Nervous System,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض الجھاز العصبي,جملة,Diseases of the Nervous System,Total,جملة,Total,1,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التھاب سحائي,مواطن,Meningitis,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التھاب سحائي,مواطن,Meningitis,Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التھاب سحائي,غیر مواطن,Meningitis,Non-Citizen,ذ,M,6,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التھاب سحائي,غیر مواطن,Meningitis,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التھاب سحائي,جملة,Meningitis,Total,جملة,Total,6,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض الجھاز الدوري الاخرى,مواطن,Diseases of the Circulatory System,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض الجھاز الدوري الاخرى,مواطن,Diseases of the Circulatory System,Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض الجھاز الدوري الاخرى,غیر مواطن,Diseases of the Circulatory System,Non-Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض الجھاز الدوري الاخرى,غیر مواطن,Diseases of the Circulatory System,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض الجھاز الدوري الاخرى,جملة,Diseases of the Circulatory System,Total,جملة,Total,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,حمى روماتیزمیة حادة,مواطن,Acute Rheumatic Fever,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,حمى روماتیزمیة حادة,مواطن,Acute Rheumatic Fever,Citizen,ا,F,1,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,حمى روماتیزمیة حادة,غیر مواطن,Acute Rheumatic Fever,Non-Citizen,ذ,M,8,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,حمى روماتیزمیة حادة,غیر مواطن,Acute Rheumatic Fever,Non-Citizen,ا,F,1,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,حمى روماتیزمیة حادة,جملة,Acute Rheumatic Fever,Total,جملة,Total,10,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض قلب روماتیزمیة مزمنة,مواطن,Chronic Rheumatic Heart Diseases,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض قلب روماتیزمیة مزمنة,مواطن,Chronic Rheumatic Heart Diseases,Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض قلب روماتیزمیة مزمنة,غیر مواطن,Chronic Rheumatic Heart Diseases,Non-Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض قلب روماتیزمیة مزمنة,غیر مواطن,Chronic Rheumatic Heart Diseases,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض قلب روماتیزمیة مزمنة,جملة,Chronic Rheumatic Heart Diseases,Total,جملة,Total,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ارتفاع ضغط الدم,مواطن,Hypertensive Disease,Citizen,ذ,M,16,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ارتفاع ضغط الدم,مواطن,Hypertensive Disease,Citizen,ا,F,8,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ارتفاع ضغط الدم,غیر مواطن,Hypertensive Disease,Non-Citizen,ذ,M,27,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ارتفاع ضغط الدم,غیر مواطن,Hypertensive Disease,Non-Citizen,ا,F,9,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,ارتفاع ضغط الدم,جملة,Hypertensive Disease,Total,جملة,Total,60,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,مرض القلب الاسكیمى,مواطن,Ischaemic Heart Disease,Citizen,ذ,M,31,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,مرض القلب الاسكیمى,مواطن,Ischaemic Heart Disease,Citizen,ا,F,18,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,مرض القلب الاسكیمى,غیر مواطن,Ischaemic Heart Disease,Non-Citizen,ذ,M,191,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,مرض القلب الاسكیمى,غیر مواطن,Ischaemic Heart Disease,Non-Citizen,ا,F,28,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,مرض القلب الاسكیمى,جملة,Ischaemic Heart Disease,Total,جملة,Total,268,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,احتشاء حاد فى عضلة القلب,مواطن,Acute Myocardial Infarction,Citizen,ذ,M,28,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,احتشاء حاد فى عضلة القلب,مواطن,Acute Myocardial Infarction,Citizen,ا,F,12,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,احتشاء حاد فى عضلة القلب,غیر مواطن,Acute Myocardial Infarction,Non-Citizen,ذ,M,111,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,احتشاء حاد فى عضلة القلب,غیر مواطن,Acute Myocardial Infarction,Non-Citizen,ا,F,18,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,احتشاء حاد فى عضلة القلب,جملة,Acute Myocardial Infarction,Total,جملة,Total,169,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض اوعیه المخ الوعائیة,مواطن,Cerebrovascular Disease,Citizen,ذ,M,10,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض اوعیه المخ الوعائیة,مواطن,Cerebrovascular Disease,Citizen,ا,F,3,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض اوعیه المخ الوعائیة,غیر مواطن,Cerebrovascular Disease,Non-Citizen,ذ,M,17,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض اوعیه المخ الوعائیة,غیر مواطن,Cerebrovascular Disease,Non-Citizen,ا,F,4,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض اوعیه المخ الوعائیة,جملة,Cerebrovascular Disease,Total,جملة,Total,34,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,تصلب الشرايین,مواطن,Atherosclerosis,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,تصلب الشرايین,مواطن,Atherosclerosis,Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,تصلب الشرايین,غیر مواطن,Atherosclerosis,Non-Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,تصلب الشرايین,غیر مواطن,Atherosclerosis,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,تصلب الشرايین,جملة,Atherosclerosis,Total,جملة,Total,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض القلب الاخرى,مواطن,Other Cardiovascular Diseases,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض القلب الاخرى,مواطن,Other Cardiovascular Diseases,Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض القلب الاخرى,غیر مواطن,Other Cardiovascular Diseases,Non-Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض القلب الاخرى,غیر مواطن,Other Cardiovascular Diseases,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض القلب الاخرى,جملة,Other Cardiovascular Diseases,Total,جملة,Total,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التھاب رئوي,مواطن,Pneumonia,Citizen,ذ,M,10,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التھاب رئوي,مواطن,Pneumonia,Citizen,ا,F,7,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التھاب رئوي,غیر مواطن,Pneumonia,Non-Citizen,ذ,M,14,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التھاب رئوي,غیر مواطن,Pneumonia,Non-Citizen,ا,F,6,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التھاب رئوي,جملة,Pneumonia,Total,جملة,Total,37,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,انفلونزا,مواطن,Influenza,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,انفلونزا,مواطن,Influenza,Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,انفلونزا,غیر مواطن,Influenza,Non-Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,انفلونزا,غیر مواطن,Influenza,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,انفلونزا,جملة,Influenza,Total,جملة,Total,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التھاب الشعب او انتفاخ الرئــــــة او الربو,مواطن,"Bronchitis, Emphysema, and Asthma",Citizen,ذ,M,3,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التھاب الشعب او انتفاخ الرئــــــة او الربو,مواطن,"Bronchitis, Emphysema, and Asthma",Citizen,ا,F,5,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,التھاب الشعب او انتفاخ الرئــــــة او الربو,غیر مواطن,"Bronchitis, Emphysema, and Asthma",Non-Citizen,ذ,M,6,,,,,,,,,
