Year,Medical_District_AR,Medical_District_EN,Cause_of_Death_AR,Cause_of_Death_EN,Nationality_AR,Nationality_EN,Sex_AR,Sex_EN,Value,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقصبة الھوائیة او الشعب او الرئه,"Malignant Neoplasm of the Trachea, Bronchus, and Lung",غیر مواطن,Non-Citizen,ذ,M,6,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقصبة الھوائیة او الشعب او الرئه,"Malignant Neoplasm of the Trachea, Bronchus, and Lung",غیر مواطن,Non-Citizen,ا,F,3,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقصبة الھوائیة او الشعب او الرئه,"Malignant Neoplasm of the Trachea, Bronchus, and Lung",جملة,Total,جملة,Total,20,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالثدي,Malignant Neoplasm of the Breast,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالثدي,Malignant Neoplasm of the Breast,مواطن,Citizen,ا,F,4,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالثدي,Malignant Neoplasm of the Breast,غیر مواطن,Non-Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالثدي,Malignant Neoplasm of the Breast,غیر مواطن,Non-Citizen,ا,F,5,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالثدي,Malignant Neoplasm of the Breast,جملة,Total,جملة,Total,9,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بعنق الرحم,Malignant Neoplasm of the Cervix Uteri,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بعنق الرحم,Malignant Neoplasm of the Cervix Uteri,مواطن,Citizen,ا,F,3,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بعنق الرحم,Malignant Neoplasm of the Cervix Uteri,غیر مواطن,Non-Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بعنق الرحم,Malignant Neoplasm of the Cervix Uteri,غیر مواطن,Non-Citizen,ا,F,2,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بعنق الرحم,Malignant Neoplasm of the Cervix Uteri,جملة,Total,جملة,Total,5,
2005,أبــو ظبــي,Abu Dhabi,اورام خبیثة اخرى,Other Malignant Neoplasm,مواطن,Citizen,ذ,M,20,
2005,أبــو ظبــي,Abu Dhabi,اورام خبیثة اخرى,Other Malignant Neoplasm,مواطن,Citizen,ا,F,10,
2005,أبــو ظبــي,Abu Dhabi,اورام خبیثة اخرى,Other Malignant Neoplasm,غیر مواطن,Non-Citizen,ذ,M,37,
2005,أبــو ظبــي,Abu Dhabi,اورام خبیثة اخرى,Other Malignant Neoplasm,غیر مواطن,Non-Citizen,ا,F,10,
2005,أبــو ظبــي,Abu Dhabi,اورام خبیثة اخرى,Other Malignant Neoplasm,جملة,Total,جملة,Total,77,
2005,أبــو ظبــي,Abu Dhabi,سرطان الدم,Leukaemia,مواطن,Citizen,ذ,M,1,
2005,أبــو ظبــي,Abu Dhabi,سرطان الدم,Leukaemia,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,سرطان الدم,Leukaemia,غیر مواطن,Non-Citizen,ذ,M,3,
2005,أبــو ظبــي,Abu Dhabi,سرطان الدم,Leukaemia,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,سرطان الدم,Leukaemia,جملة,Total,جملة,Total,4,
2005,أبــو ظبــي,Abu Dhabi,داء السكري,Diabetes Mellitus,مواطن,Citizen,ذ,M,22,
2005,أبــو ظبــي,Abu Dhabi,داء السكري,Diabetes Mellitus,مواطن,Citizen,ا,F,12,
2005,أبــو ظبــي,Abu Dhabi,داء السكري,Diabetes Mellitus,غیر مواطن,Non-Citizen,ذ,M,19,
2005,أبــو ظبــي,Abu Dhabi,داء السكري,Diabetes Mellitus,غیر مواطن,Non-Citizen,ا,F,28,
2005,أبــو ظبــي,Abu Dhabi,داء السكري,Diabetes Mellitus,جملة,Total,جملة,Total,81,
2005,أبــو ظبــي,Abu Dhabi,الھزال الغذائي,Nutritional Marasmus,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,الھزال الغذائي,Nutritional Marasmus,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,الھزال الغذائي,Nutritional Marasmus,غیر مواطن,Non-Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,الھزال الغذائي,Nutritional Marasmus,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,الھزال الغذائي,Nutritional Marasmus,جملة,Total,جملة,Total,0,
2005,أبــو ظبــي,Abu Dhabi,انواع اخرى من سوء التغذية,Other Protein-Calorie Malnutrition,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,انواع اخرى من سوء التغذية,Other Protein-Calorie Malnutrition,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,انواع اخرى من سوء التغذية,Other Protein-Calorie Malnutrition,غیر مواطن,Non-Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,انواع اخرى من سوء التغذية,Other Protein-Calorie Malnutrition,غیر مواطن,Non-Citizen,ا,F,1,
2005,أبــو ظبــي,Abu Dhabi,انواع اخرى من سوء التغذية,Other Protein-Calorie Malnutrition,جملة,Total,جملة,Total,1,
2005,أبــو ظبــي,Abu Dhabi,فقر الدم,Anaemia,مواطن,Citizen,ذ,M,1,
2005,أبــو ظبــي,Abu Dhabi,فقر الدم,Anaemia,مواطن,Citizen,ا,F,2,
2005,أبــو ظبــي,Abu Dhabi,فقر الدم,Anaemia,غیر مواطن,Non-Citizen,ذ,M,1,
2005,أبــو ظبــي,Abu Dhabi,فقر الدم,Anaemia,غیر مواطن,Non-Citizen,ا,F,1,
2005,أبــو ظبــي,Abu Dhabi,فقر الدم,Anaemia,جملة,Total,جملة,Total,5,
2005,أبــو ظبــي,Abu Dhabi,الاضطرابات العقلیة,Mental Disorders,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,الاضطرابات العقلیة,Mental Disorders,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,الاضطرابات العقلیة,Mental Disorders,غیر مواطن,Non-Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,الاضطرابات العقلیة,Mental Disorders,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,الاضطرابات العقلیة,Mental Disorders,جملة,Total,جملة,Total,0,
2005,أبــو ظبــي,Abu Dhabi,امراض الجھاز العصبي,Diseases of the Nervous System,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,امراض الجھاز العصبي,Diseases of the Nervous System,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,امراض الجھاز العصبي,Diseases of the Nervous System,غیر مواطن,Non-Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,امراض الجھاز العصبي,Diseases of the Nervous System,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,امراض الجھاز العصبي,Diseases of the Nervous System,جملة,Total,جملة,Total,0,
2005,أبــو ظبــي,Abu Dhabi,التھاب سحائي,Meningitis,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,التھاب سحائي,Meningitis,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,التھاب سحائي,Meningitis,غیر مواطن,Non-Citizen,ذ,M,2,
2005,أبــو ظبــي,Abu Dhabi,التھاب سحائي,Meningitis,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,التھاب سحائي,Meningitis,جملة,Total,جملة,Total,2,
2005,أبــو ظبــي,Abu Dhabi,امراض الجھاز الدوري الاخرى,Other Diseases of the Circulatory System,مواطن,Citizen,ذ,M,9,
2005,أبــو ظبــي,Abu Dhabi,امراض الجھاز الدوري الاخرى,Other Diseases of the Circulatory System,مواطن,Citizen,ا,F,5,
2005,أبــو ظبــي,Abu Dhabi,امراض الجھاز الدوري الاخرى,Other Diseases of the Circulatory System,غیر مواطن,Non-Citizen,ذ,M,59,
2005,أبــو ظبــي,Abu Dhabi,امراض الجھاز الدوري الاخرى,Other Diseases of the Circulatory System,غیر مواطن,Non-Citizen,ا,F,4,
2005,أبــو ظبــي,Abu Dhabi,امراض الجھاز الدوري الاخرى,Other Diseases of the Circulatory System,جملة,Total,جملة,Total,77,
2005,أبــو ظبــي,Abu Dhabi,حمى روماتیزمیة حادة,Acute Rheumatic Fever,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,حمى روماتیزمیة حادة,Acute Rheumatic Fever,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,حمى روماتیزمیة حادة,Acute Rheumatic Fever,غیر مواطن,Non-Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,حمى روماتیزمیة حادة,Acute Rheumatic Fever,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,حمى روماتیزمیة حادة,Acute Rheumatic Fever,جملة,Total,جملة,Total,0,
2005,أبــو ظبــي,Abu Dhabi,امراض قلب روماتیزمیة مزمنة,Chronic Rheumatic Heart Diseases,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,امراض قلب روماتیزمیة مزمنة,Chronic Rheumatic Heart Diseases,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,امراض قلب روماتیزمیة مزمنة,Chronic Rheumatic Heart Diseases,غیر مواطن,Non-Citizen,ذ,M,3,
2005,أبــو ظبــي,Abu Dhabi,امراض قلب روماتیزمیة مزمنة,Chronic Rheumatic Heart Diseases,غیر مواطن,Non-Citizen,ا,F,1,
2005,أبــو ظبــي,Abu Dhabi,امراض قلب روماتیزمیة مزمنة,Chronic Rheumatic Heart Diseases,جملة,Total,جملة,Total,4,
2005,أبــو ظبــي,Abu Dhabi,ارتفاع ضغط الدم,Hypertensive Disease,مواطن,Citizen,ذ,M,2,
2005,أبــو ظبــي,Abu Dhabi,ارتفاع ضغط الدم,Hypertensive Disease,مواطن,Citizen,ا,F,3,
2005,أبــو ظبــي,Abu Dhabi,ارتفاع ضغط الدم,Hypertensive Disease,غیر مواطن,Non-Citizen,ذ,M,18,
2005,أبــو ظبــي,Abu Dhabi,ارتفاع ضغط الدم,Hypertensive Disease,غیر مواطن,Non-Citizen,ا,F,7,
2005,أبــو ظبــي,Abu Dhabi,ارتفاع ضغط الدم,Hypertensive Disease,جملة,Total,جملة,Total,30,
2005,أبــو ظبــي,Abu Dhabi,مرض القلب الاسكیمى,Ischaemic Heart Disease,مواطن,Citizen,ذ,M,7,
2005,أبــو ظبــي,Abu Dhabi,مرض القلب الاسكیمى,Ischaemic Heart Disease,مواطن,Citizen,ا,F,5,
2005,أبــو ظبــي,Abu Dhabi,مرض القلب الاسكیمى,Ischaemic Heart Disease,غیر مواطن,Non-Citizen,ذ,M,31,
2005,أبــو ظبــي,Abu Dhabi,مرض القلب الاسكیمى,Ischaemic Heart Disease,غیر مواطن,Non-Citizen,ا,F,5,
2005,أبــو ظبــي,Abu Dhabi,مرض القلب الاسكیمى,Ischaemic Heart Disease,جملة,Total,جملة,Total,48,
2005,أبــو ظبــي,Abu Dhabi,احتشاء حاد فى عضلة القلب,Acute Myocardial Infarction,مواطن,Citizen,ذ,M,8,
2005,أبــو ظبــي,Abu Dhabi,احتشاء حاد فى عضلة القلب,Acute Myocardial Infarction,مواطن,Citizen,ا,F,1,
2005,أبــو ظبــي,Abu Dhabi,احتشاء حاد فى عضلة القلب,Acute Myocardial Infarction,غیر مواطن,Non-Citizen,ذ,M,27,
2005,أبــو ظبــي,Abu Dhabi,احتشاء حاد فى عضلة القلب,Acute Myocardial Infarction,غیر مواطن,Non-Citizen,ا,F,1,
2005,أبــو ظبــي,Abu Dhabi,احتشاء حاد فى عضلة القلب,Acute Myocardial Infarction,جملة,Total,جملة,Total,37,
2005,أبــو ظبــي,Abu Dhabi,امراض اوعیه المخ الوعائیة,Cerebrovascular Disease,مواطن,Citizen,ذ,M,10,
2005,أبــو ظبــي,Abu Dhabi,امراض اوعیه المخ الوعائیة,Cerebrovascular Disease,مواطن,Citizen,ا,F,5,
2005,أبــو ظبــي,Abu Dhabi,امراض اوعیه المخ الوعائیة,Cerebrovascular Disease,غیر مواطن,Non-Citizen,ذ,M,15,
2005,أبــو ظبــي,Abu Dhabi,امراض اوعیه المخ الوعائیة,Cerebrovascular Disease,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,امراض اوعیه المخ الوعائیة,Cerebrovascular Disease,جملة,Total,جملة,Total,30,
2005,أبــو ظبــي,Abu Dhabi,تصلب الشرايین,Atherosclerosis,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,تصلب الشرايین,Atherosclerosis,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,تصلب الشرايین,Atherosclerosis,غیر مواطن,Non-Citizen,ذ,M,4,
2005,أبــو ظبــي,Abu Dhabi,تصلب الشرايین,Atherosclerosis,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,تصلب الشرايین,Atherosclerosis,جملة,Total,جملة,Total,4,
2005,أبــو ظبــي,Abu Dhabi,امراض القلب الاخرى,Other Cardiovascular Diseases,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,امراض القلب الاخرى,Other Cardiovascular Diseases,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,امراض القلب الاخرى,Other Cardiovascular Diseases,غیر مواطن,Non-Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,امراض القلب الاخرى,Other Cardiovascular Diseases,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,امراض القلب الاخرى,Other Cardiovascular Diseases,جملة,Total,جملة,Total,0,
2005,أبــو ظبــي,Abu Dhabi,التھاب رئوي,Pneumonia,مواطن,Citizen,ذ,M,6,
2005,أبــو ظبــي,Abu Dhabi,التھاب رئوي,Pneumonia,مواطن,Citizen,ا,F,6,
2005,أبــو ظبــي,Abu Dhabi,التھاب رئوي,Pneumonia,غیر مواطن,Non-Citizen,ذ,M,6,
2005,أبــو ظبــي,Abu Dhabi,التھاب رئوي,Pneumonia,غیر مواطن,Non-Citizen,ا,F,5,
2005,أبــو ظبــي,Abu Dhabi,التھاب رئوي,Pneumonia,جملة,Total,جملة,Total,23,
2005,أبــو ظبــي,Abu Dhabi,انفلونزا,Influenza,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,انفلونزا,Influenza,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,انفلونزا,Influenza,غیر مواطن,Non-Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,انفلونزا,Influenza,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,انفلونزا,Influenza,جملة,Total,جملة,Total,0,
2005,أبــو ظبــي,Abu Dhabi,التھاب الشعب او انتفاخ الرئــــــة او الربو,"Bronchitis, Emphysema, and Asthma",مواطن,Citizen,ذ,M,1,
2005,أبــو ظبــي,Abu Dhabi,التھاب الشعب او انتفاخ الرئــــــة او الربو,"Bronchitis, Emphysema, and Asthma",مواطن,Citizen,ا,F,4,
2005,أبــو ظبــي,Abu Dhabi,التھاب الشعب او انتفاخ الرئــــــة او الربو,"Bronchitis, Emphysema, and Asthma",غیر مواطن,Non-Citizen,ذ,M,6,
2005,أبــو ظبــي,Abu Dhabi,التھاب الشعب او انتفاخ الرئــــــة او الربو,"Bronchitis, Emphysema, and Asthma",غیر مواطن,Non-Citizen,ا,F,4,
2005,أبــو ظبــي,Abu Dhabi,التھاب الشعب او انتفاخ الرئــــــة او الربو,"Bronchitis, Emphysema, and Asthma",جملة,Total,جملة,Total,15,
2005,أبــو ظبــي,Abu Dhabi,امراض جھاز تنفسي اخرى,Other Respiratory Diseases,مواطن,Citizen,ذ,M,1,
2005,أبــو ظبــي,Abu Dhabi,امراض جھاز تنفسي اخرى,Other Respiratory Diseases,مواطن,Citizen,ا,F,6,
2005,أبــو ظبــي,Abu Dhabi,امراض جھاز تنفسي اخرى,Other Respiratory Diseases,غیر مواطن,Non-Citizen,ذ,M,2,
2005,أبــو ظبــي,Abu Dhabi,امراض جھاز تنفسي اخرى,Other Respiratory Diseases,غیر مواطن,Non-Citizen,ا,F,4,
2005,أبــو ظبــي,Abu Dhabi,امراض جھاز تنفسي اخرى,Other Respiratory Diseases,جملة,Total,جملة,Total,13,
2005,أبــو ظبــي,Abu Dhabi,قرحة بالمعدة او الاثنى عشر,Ulcer of Stomach and Duodenum,مواطن,Citizen,ذ,M,1,
2005,أبــو ظبــي,Abu Dhabi,قرحة بالمعدة او الاثنى عشر,Ulcer of Stomach and Duodenum,مواطن,Citizen,ا,F,1,
2005,أبــو ظبــي,Abu Dhabi,قرحة بالمعدة او الاثنى عشر,Ulcer of Stomach and Duodenum,غیر مواطن,Non-Citizen,ذ,M,2,
2005,أبــو ظبــي,Abu Dhabi,قرحة بالمعدة او الاثنى عشر,Ulcer of Stomach and Duodenum,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,قرحة بالمعدة او الاثنى عشر,Ulcer of Stomach and Duodenum,جملة,Total,جملة,Total,4,
2005,أبــو ظبــي,Abu Dhabi,التھاب الذائدة الدودية ,Appendicitis,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,التھاب الذائدة الدودية ,Appendicitis,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,التھاب الذائدة الدودية ,Appendicitis,غیر مواطن,Non-Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,التھاب الذائدة الدودية ,Appendicitis,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,التھاب الذائدة الدودية ,Appendicitis,جملة,Total,جملة,Total,0,
2005,أبــو ظبــي,Abu Dhabi,مرض الكبد المزمن وتشمع الكبد,Chronic Liver Diseases and Cirrhosis,مواطن,Citizen,ذ,M,8,
2005,أبــو ظبــي,Abu Dhabi,مرض الكبد المزمن وتشمع الكبد,Chronic Liver Diseases and Cirrhosis,مواطن,Citizen,ا,F,4,
