Year,Region_AR,Region_EN,Birth_Status_AR,Birth_Status_EN,Nationality_AR,Nationality_EN,Delivery_Condition_AR,Delivery_Condition_EN,Delivery_Method_AR,Delivery_Method_EN,Births,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,اخري,Other,0,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,اكثر من طريقة,More than One Method,0,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,الجملة,Total,الجملة,Total,11,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,ولادة جنين ميت,Stillbirth,الجملة,Total,الجملة,Total,الجملة,Total,19,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,المواليد الأحياء,Livebirth,مواطن,Citizen,طبیعیة,Spontaneous,رأسي,Vertex,289,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,المواليد الأحياء,Livebirth,مواطن,Citizen,طبیعیة,Spontaneous,مقعدة,Breech,0,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,شفط,Vacuum Extraction,6,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,جفت,Forceps,0,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,قیصرية,Caesarean,53,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,اخري,Other,0,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,اكثر من طريقة,More than One Method,0,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,المواليد الأحياء,Livebirth,مواطن,Citizen,الجملة,Total,الجملة,Total,348,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,طبیعیة,Spontaneous,رأسي,Vertex,433,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,طبیعیة,Spontaneous,مقعدة,Breech,2,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,شفط,Vacuum Extraction,20,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,جفت,Forceps,1,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,قیصرية,Caesarean,118,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,اخري,Other,0,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,اكثر من طريقة,More than One Method,0,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,الجملة,Total,الجملة,Total,574,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,المواليد الأحياء,Livebirth,الجملة,Total,الجملة,Total,الجملة,Total,922,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,ولادة جنين ميت,Stillbirth,مواطن,Citizen,طبیعیة,Spontaneous,رأسي,Vertex,3,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,ولادة جنين ميت,Stillbirth,مواطن,Citizen,طبیعیة,Spontaneous,مقعدة,Breech,0,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,شفط,Vac Extraction,0,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,جفت,Forceps,0,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,قیصرية,Caesarean,0,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,اخري,Other,0,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,اكثر من طريقة,More than One Method,0,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,ولادة جنين ميت,Stillbirth,مواطن,Citizen,-,-,الجملة,Total,3,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,طبیعیة,Spontaneous,رأسي,Vertex,2,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,طبیعیة,Spontaneous,مقعدة,Breech,0,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,شفط,Vacuum Extraction,0,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,جفت,Forceps,0,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,قیصرية,Caesarean,0,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,اخري,Other,0,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,اكثر من طريقة,More than One Method,0,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,الجملة,Total,الجملة,Total,2,,,,,,,,,,,,,,,,,,,,
2002,المنطقة الغربية,Western Region,ولادة جنين ميت,Stillbirth,الجملة,Total,الجملة,Total,الجملة,Total,5,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,المواليد الأحياء,Livebirth,مواطن,Citizen,طبیعیة,Spontaneous,رأسي,Vertex,680,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,المواليد الأحياء,Livebirth,مواطن,Citizen,طبیعیة,Spontaneous,مقعدة,Breech,10,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,شفط,Vacuum Extraction,5,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,جفت,Forceps,3,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,قیصرية,Caesarean,78,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,اخري,Other,0,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,اكثر من طريقة,More than One Method,3,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,المواليد الأحياء,Livebirth,مواطن,Citizen,الجملة,Total,الجملة,Total,779,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,طبیعیة,Spontaneous,رأسي,Vertex,2546,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,طبیعیة,Spontaneous,مقعدة,Breech,19,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,شفط,Vacuum Extraction,62,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,جفت,Forceps,10,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,قیصرية,Caesarean,341,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,اخري,Other,4,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,اكثر من طريقة,More than One Method,31,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,الجملة,Total,الجملة,Total,"3,013",,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,المواليد الأحياء,Livebirth,الجملة,Total,الجملة,Total,الجملة,Total,"3,792",,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,ولادة جنين ميت,Stillbirth,مواطن,Citizen,طبیعیة,Spontaneous,رأسي,Vertex,0,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,ولادة جنين ميت,Stillbirth,مواطن,Citizen,طبیعیة,Spontaneous,مقعدة,Breech,0,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,شفط,Vac Extraction,0,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,جفت,Forceps,0,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,قیصرية,Caesarean,0,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,اخري,Other,0,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,اكثر من طريقة,More than One Method,0,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,ولادة جنين ميت,Stillbirth,مواطن,Citizen,-,-,الجملة,Total,0,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,طبیعیة,Spontaneous,رأسي,Vertex,14,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,طبیعیة,Spontaneous,مقعدة,Breech,0,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,شفط,Vacuum Extraction,0,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,جفت,Forceps,0,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,قیصرية,Caesarean,0,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,اخري,Other,7,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,اكثر من طريقة,More than One Method,13,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,الجملة,Total,الجملة,Total,34,,,,,,,,,,,,,,,,,,,,
2002,العين,Al Ain,ولادة جنين ميت,Stillbirth,الجملة,Total,الجملة,Total,الجملة,Total,34,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,المواليد الأحياء,Livebirth,مواطن,Citizen,طبیعیة,Spontaneous,رأسي,Vertex,262,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,المواليد الأحياء,Livebirth,مواطن,Citizen,طبیعیة,Spontaneous,مقعدة,Breech,0,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,شفط,Vacuum Extraction,8,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,جفت,Forceps,2,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,قیصرية,Caesarean,38,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,اخري,Other,0,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,اكثر من طريقة,More than One Method,0,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,المواليد الأحياء,Livebirth,مواطن,Citizen,الجملة,Total,الجملة,Total,310,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,طبیعیة,Spontaneous,رأسي,Vertex,1198,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,طبیعیة,Spontaneous,مقعدة,Breech,3,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,شفط,Vacuum Extraction,59,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,جفت,Forceps,4,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,قیصرية,Caesarean,171,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,اخري,Other,0,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,اكثر من طريقة,More than One Method,0,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,الجملة,Total,الجملة,Total,"1,435",,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,المواليد الأحياء,Livebirth,الجملة,Total,الجملة,Total,الجملة,Total,"1,745",,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,ولادة جنين ميت,Stillbirth,مواطن,Citizen,طبیعیة,Spontaneous,رأسي,Vertex,2,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,ولادة جنين ميت,Stillbirth,مواطن,Citizen,طبیعیة,Spontaneous,مقعدة,Breech,0,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,شفط,Vac Extraction,0,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,جفت,Forceps,0,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,قیصرية,Caesarean,0,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,اخري,Other,0,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,اكثر من طريقة,More than One Method,0,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,ولادة جنين ميت,Stillbirth,مواطن,Citizen,-,-,الجملة,Total,2,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,طبیعیة,Spontaneous,رأسي,Vertex,10,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,طبیعیة,Spontaneous,مقعدة,Breech,1,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,شفط,Vacuum Extraction,0,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,جفت,Forceps,0,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,قیصرية,Caesarean,0,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,اخري,Other,0,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,اكثر من طريقة,More than One Method,0,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,الجملة,Total,الجملة,Total,11,,,,,,,,,,,,,,,,,,,,
2002,دبي,Dubai,ولادة جنين ميت,Stillbirth,الجملة,Total,الجملة,Total,الجملة,Total,13,,,,,,,,,,,,,,,,,,,,
2002,الشارقة,Sharjah,المواليد الأحياء,Livebirth,مواطن,Citizen,طبیعیة,Spontaneous,رأسي,Vertex,2105,,,,,,,,,,,,,,,,,,,,
2002,الشارقة,Sharjah,المواليد الأحياء,Livebirth,مواطن,Citizen,طبیعیة,Spontaneous,مقعدة,Breech,14,,,,,,,,,,,,,,,,,,,,
2002,الشارقة,Sharjah,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,شفط,Vacuum Extraction,36,,,,,,,,,,,,,,,,,,,,
2002,الشارقة,Sharjah,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,جفت,Forceps,7,,,,,,,,,,,,,,,,,,,,
2002,الشارقة,Sharjah,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,قیصرية,Caesarean,356,,,,,,,,,,,,,,,,,,,,
2002,الشارقة,Sharjah,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,اخري,Other,0,,,,,,,,,,,,,,,,,,,,
2002,الشارقة,Sharjah,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,اكثر من طريقة,More than One Method,0,,,,,,,,,,,,,,,,,,,,
2002,الشارقة,Sharjah,المواليد الأحياء,Livebirth,مواطن,Citizen,الجملة,Total,الجملة,Total,"2,518",,,,,,,,,,,,,,,,,,,,
2002,الشارقة,Sharjah,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,طبیعیة,Spontaneous,رأسي,Vertex,3361,,,,,,,,,,,,,,,,,,,,
2002,الشارقة,Sharjah,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,طبیعیة,Spontaneous,مقعدة,Breech,28,,,,,,,,,,,,,,,,,,,,
2002,الشارقة,Sharjah,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,شفط,Vacuum Extraction,81,,,,,,,,,,,,,,,,,,,,
2002,الشارقة,Sharjah,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,جفت,Forceps,18,,,,,,,,,,,,,,,,,,,,
2002,الشارقة,Sharjah,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,قیصرية,Caesarean,765,,,,,,,,,,,,,,,,,,,,
2002,الشارقة,Sharjah,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,اخري,Other,0,,,,,,,,,,,,,,,,,,,,
2002,الشارقة,Sharjah,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,اكثر من طريقة,More than One Method,0,,,,,,,,,,,,,,,,,,,,
2002,الشارقة,Sharjah,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,الجملة,Total,الجملة,Total,"4,253",,,,,,,,,,,,,,,,,,,,
2002,الشارقة,Sharjah,المواليد الأحياء,Livebirth,الجملة,Total,الجملة,Total,الجملة,Total,"6,771",,,,,,,,,,,,,,,,,,,,
2002,الشارقة,Sharjah,ولادة جنين ميت,Stillbirth,مواطن,Citizen,طبیعیة,Spontaneous,رأسي,Vertex,20,,,,,,,,,,,,,,,,,,,,
